Mánaðarmeðaltöl fyrir stöð 1 - Reykjavík
stöð	 ár	mán	  t	  tx	  txx	txxD1	  tn	 tnn	tnnD1	 rh	 r	 rx	rxD1	 p	 n	sun	 f
1	1949	1	 -2.7	  0.5	  6.6	9	 -6.8	-15.2	12	 81.0	 68.8	  9.6	25	 996.7	6.0	18.1	 8.5
1	1949	2	  0.0	  2.5	  7.8	6	 -2.5	 -7.5	27	 87.0	 80.0	  8.3	16	 989.0	6.7	25.1	 9.2
1	1949	3	  0.1	  2.8	  7.4	4	 -2.9	-14.3	14	 86.0	 58.7	  8.4	5	1010.4	5.9	106.6	 5.9
1	1949	4	 -0.0	  3.1	  6.6	2	 -2.9	 -8.9	21	 77.0	 51.8	 17.8	18	1000.2	5.8	134.7	 7.4
1	1949	5	  3.6	  7.2	 13.0	22	  0.3	 -5.0	5	 70.0	 27.9	  5.5	12	1014.8	5.1	243.2	 6.9
1	1949	6	  9.8	 13.0	 20.4	22	  6.7	  1.6	7	 76.0	 44.2	 13.2	30	1015.3	5.7	187.3	 5.9
1	1949	7	 10.5	 13.2	 17.1	28	  8.7	  6.0	4	 86.0	 66.0	 12.6	6	1013.5	7.2	83.1	 4.1
1	1949	8	 10.1	 13.3	 16.5	18	  7.3	  2.0	9	 80.0	 96.0	 25.1	29	1008.4	6.1	160.8	 4.7
1	1949	9	  9.0	 11.1	 15.7	2	  7.2	  1.8	9	 87.0	 97.9	 18.6	29	1009.4	6.9	59.6	 5.7
1	1949	10	  4.5	  7.5	 14.2	11	  2.0	 -9.3	25	 81.0	 35.9	 15.7	2	1002.1	4.9	81.3	 4.4
1	1949	11	  2.5	  5.0	  9.4	2	 -0.3	 -7.0	13	 81.0	 72.0	 15.0	1	 996.2	5.3	40.0	 5.7
1	1949	12	 -1.3	  0.9	  6.3	31	 -4.6	-15.3	9	 84.0	 54.2	 14.2	23	 996.0	5.7	10.0	 6.3
1	1950	1	  2.8	  5.2	  9.6	19	  0.4	 -4.3	24	 84.0	128.3	 13.3	22	 996.0	6.5	10.5	 8.6
